,Character,SEID,Sentiment
0,(George shows his note-block to Jerry; it says very largely,S01E01,0.0
1,ARTIE,S01E01,0.0
2,AUDIENCE,S01E01,0.0
3,CAROL,S01E01,0.009259259259259254
4,CLAIE,S01E01,0.0
5,CLAIRE,S01E01,-0.011771137026239066
6,ELAINE,S01E01,0.09668126684636118
7,GEORGE,S01E01,0.07251889031225767
8,GEORGE & JERRY,S01E01,0.5
9,"GUESTS, JERRY & ELAINE",S01E01,0.0
10,HELEN,S01E01,0.020495014245014244
11,HELEN & MORTY,S01E01,0.0
12,JERRY,S01E01,0.028298148417030412
13,JERRY & George,S01E01,-0.125
14,KESSLER,S01E01,-0.001180555555555554
15,KRAMER,S01E01,-0.03571428571428571
16,LAURA,S01E01,0.14989417989417989
17,LAURA & JERRY,S01E01,0.0
18,MORTY,S01E01,-0.03173611111111112
19,PAMELA,S01E01,0.09714285714285714
20,ROGER,S01E01,0.1
21,UNCLE MAC,S01E01,0.0
22,VANESSA,S01E01,0.12475649350649352
23,WOMAN,S01E01,-0.2
24,BOTH,S01E02,0.0
25,CAROL,S01E02,0.05448933782267115
26,DIANE,S01E02,0.4074074074074074
27,ELAINE,S01E02,0.10709510518721045
28,GEORGE,S01E02,0.05513684640522876
29,GEORGE ,S01E02,-0.4
30,JERRY,S01E02,0.05810753503651231
31,"JERRY, GEORGE & ELAINE",S01E02,0.0
32,KRAMER,S01E02,-0.06268959435626104
33,LARRY,S01E02,-0.053125000000000006
34,MAN #1,S01E02,0.125
35,MAN #2,S01E02,0.2
36,POLICEMAN,S01E02,-0.0625
37,CLAIRE,S01E03,0.2
38,CUSTOMER,S01E03,0.65
39,ELAINE,S01E03,0.0013157894736842118
40,GEORGE,S01E03,-0.008025988173046996
41,JERRY,S01E03,0.010378372799737183
42,JERRY & ELAINE,S01E03,-0.1
43,JERRY AND JOEL,S01E03,0.0
44,JOEL,S01E03,0.0174060295414462
45,KRAMER,S01E03,0.171875
46,TELLER,S01E03,-0.25
47,WAITRESS,S01E03,0.1
48,DRY CLEANE,S01E04,0.2380952380952381
49,DRY CLEANER,S01E04,0.07142857142857142
50,ELAINE,S01E04,-0.0392487684729064
51,GEORGE,S01E04,0.052731160359001265
52,GEORGE ,S01E04,0.21666666666666667
53,JERRY,S01E04,0.06895127649825364
54,JERRY ,S01E04,0.2375
55,KRAMER,S01E04,0.05411255411255412
56,KRAMER ,S01E04,0.0
